"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
46.960,0.61,-0.04,0.32,46.960,0.61,-0.03,0.38,46.960,0.62,0.03,0.24,46.960,0.61,-0.02,0.35,46.960,0.63,-0.05,-0.19,46.960,0.63,-0.03,-0.27,46.960,0.63,-0.06,-0.18,46.960,0.62,0.04,0.03,46.960,0.62,0.03,0.19,46.960,0.63,0.01,-0.30,46.960,0.62,9.20E-4,0.29,46.960,0.62,0.06,0.04,46.960,0.61,0.00,0.44,46.960,0.63,-0.04,-0.31,46.960,0.63,0.05,-0.30,46.960,0.61,0.02,0.29,46.960,0.61,0.00,0.37,46.960,0.63,0.03,-0.42,46.960,0.62,0.04,0.19
47.000,0.61,-0.03,0.38,47.000,0.61,-0.01,0.40,47.000,0.62,0.04,0.19,47.000,0.61,0.00,0.36,47.000,0.62,-0.05,-0.10,47.000,0.63,-0.03,-0.16,47.000,0.62,-0.06,0.00,47.000,0.62,0.05,0.00,47.000,0.62,0.04,0.15,47.000,0.63,0.00,-0.32,47.000,0.62,0.01,0.28,47.000,0.62,0.05,-0.01,47.000,0.61,0.01,0.37,47.000,0.63,-0.05,-0.22,47.000,0.63,0.04,-0.45,47.000,0.62,0.03,0.24,47.000,0.61,0.01,0.36,47.000,0.63,0.01,-0.46,47.000,0.62,0.04,0.11
47.040,0.61,-0.01,0.42,47.040,0.61,0.01,0.39,47.040,0.62,0.04,0.12,47.040,0.61,0.01,0.35,47.040,0.62,-0.06,-0.01,47.040,0.63,-0.04,-0.17,47.040,0.62,-0.05,0.15,47.040,0.63,0.05,-0.12,47.040,0.62,0.04,0.12,47.040,0.63,-0.02,-0.28,47.040,0.62,0.02,0.24,47.040,0.62,0.06,-0.03,47.040,0.62,0.02,0.30,47.040,0.62,-0.05,-0.13,47.040,0.63,0.02,-0.55,47.040,0.62,0.04,0.18,47.040,0.61,0.03,0.33,47.040,0.63,-0.01,-0.44,47.040,0.62,0.05,0.02
47.080,0.61,0.01,0.43,47.080,0.61,0.02,0.37,47.080,0.62,0.05,0.03,47.080,0.61,0.02,0.32,47.080,0.62,-0.05,0.09,47.080,0.63,-0.05,-0.21,47.080,0.62,-0.04,0.20,47.080,0.63,0.04,-0.26,47.080,0.62,0.05,0.07,47.080,0.63,-0.03,-0.19,47.080,0.62,0.03,0.19,47.080,0.63,0.06,-0.12,47.080,0.62,0.03,0.27,47.080,0.62,-0.06,-0.03,47.080,0.63,-0.01,-0.50,47.080,0.62,0.04,0.11,47.080,0.61,0.04,0.28,47.080,0.63,-0.03,-0.39,47.080,0.62,0.05,-0.07
47.120,0.61,0.03,0.39,47.120,0.61,0.04,0.32,47.120,0.62,0.05,-0.06,47.120,0.61,0.04,0.28,47.120,0.62,-0.05,0.19,47.120,0.62,-0.06,-0.16,47.120,0.62,-0.03,0.17,47.120,0.63,0.02,-0.34,47.120,0.62,0.05,-0.06,47.120,0.63,-0.03,-0.11,47.120,0.62,0.04,0.12,47.120,0.63,0.05,-0.29,47.120,0.62,0.05,0.21,47.120,0.62,-0.06,0.07,47.120,0.63,-0.03,-0.31,47.120,0.62,0.05,0.03,47.120,0.62,0.05,0.20,47.120,0.63,-0.04,-0.31,47.120,0.62,0.04,-0.15
47.160,0.61,0.04,0.31,47.160,0.62,0.05,0.24,47.160,0.62,0.04,-0.14,47.160,0.62,0.05,0.20,47.160,0.62,-0.04,0.29,47.160,0.62,-0.06,-0.01,47.160,0.62,-0.03,0.17,47.160,0.63,0.01,-0.37,47.160,0.63,0.05,-0.23,47.160,0.62,-0.03,-0.11,47.160,0.62,0.04,0.05,47.160,0.63,0.03,-0.42,47.160,0.62,0.05,0.11,47.160,0.62,-0.05,0.18,47.160,0.63,-0.04,-0.14,47.160,0.62,0.05,-0.06,47.160,0.62,0.05,0.11,47.160,0.63,-0.06,-0.21,47.160,0.63,0.03,-0.22
47.200,0.62,0.05,0.22,47.200,0.62,0.06,0.15,47.200,0.63,0.03,-0.21,47.200,0.62,0.05,0.11,47.200,0.61,-0.03,0.37,47.200,0.62,-0.06,0.15,47.200,0.61,-0.03,0.28,47.200,0.63,-0.01,-0.36,47.200,0.63,0.03,-0.35,47.200,0.62,-0.04,-0.10,47.200,0.62,0.04,-0.01,47.200,0.63,0.01,-0.48,47.200,0.62,0.06,-0.05,47.200,0.62,-0.04,0.29,47.200,0.63,-0.04,-0.11,47.200,0.62,0.04,-0.13,47.200,0.62,0.06,0.00,47.200,0.62,-0.06,-0.10,47.200,0.63,0.02,-0.27
47.240,0.62,0.06,0.14,47.240,0.62,0.06,0.04,47.240,0.63,0.02,-0.26,47.240,0.62,0.06,0.00,47.240,0.61,-0.01,0.40,47.240,0.62,-0.05,0.28,47.240,0.61,-0.01,0.44,47.240,0.63,-0.02,-0.34,47.240,0.63,0.02,-0.37,47.240,0.62,-0.05,0.02,47.240,0.62,0.04,-0.09,47.240,0.63,-0.01,-0.46,47.240,0.62,0.05,-0.21,47.240,0.61,-0.03,0.36,47.240,0.63,-0.04,-0.13,47.240,0.63,0.03,-0.20,47.240,0.62,0.05,-0.10,47.240,0.62,-0.06,0.01,47.240,0.63,0.01,-0.29
47.280,0.62,0.06,0.04,47.280,0.62,0.06,-0.07,47.280,0.63,0.01,-0.28,47.280,0.62,0.05,-0.10,47.280,0.61,0.01,0.37,47.280,0.61,-0.04,0.38,47.280,0.61,0.01,0.51,47.280,0.63,-0.03,-0.29,47.280,0.63,0.00,-0.34,47.280,0.62,-0.04,0.21,47.280,0.63,0.04,-0.16,47.280,0.63,-0.03,-0.41,47.280,0.63,0.04,-0.31,47.280,0.61,-0.01,0.38,47.280,0.62,-0.05,-0.10,47.280,0.63,0.03,-0.23,47.280,0.63,0.05,-0.19,47.280,0.62,-0.06,0.11,47.280,0.63,-9.10E-4,-0.30
47.320,0.62,0.06,-0.08,47.320,0.63,0.06,-0.18,47.320,0.63,0.00,-0.30,47.320,0.63,0.05,-0.19,47.320,0.61,0.02,0.32,47.320,0.61,-0.02,0.40,47.320,0.61,0.04,0.45,47.320,0.63,-0.04,-0.22,47.320,0.63,-0.01,-0.30,47.320,0.62,-0.02,0.29,47.320,0.63,0.03,-0.22,47.320,0.63,-0.04,-0.33,47.320,0.63,0.02,-0.32,47.320,0.61,0.00,0.35,47.320,0.62,-0.05,-0.01,47.320,0.63,0.02,-0.24,47.320,0.63,0.04,-0.26,47.320,0.62,-0.06,0.21,47.320,0.63,-0.01,-0.28
47.360,0.63,0.06,-0.20,47.360,0.63,0.05,-0.27,47.360,0.63,-0.01,-0.30,47.360,0.63,0.04,-0.27,47.360,0.62,0.03,0.26,47.360,0.61,-4.80E-4,0.38,47.360,0.62,0.05,0.29,47.360,0.62,-0.05,-0.13,47.360,0.63,-0.02,-0.26,47.360,0.62,-0.01,0.23,47.360,0.63,0.02,-0.26,47.360,0.63,-0.05,-0.24,47.360,0.63,0.01,-0.27,47.360,0.61,0.02,0.30,47.360,0.62,-0.05,0.09,47.360,0.63,0.01,-0.26,47.360,0.63,0.03,-0.31,47.360,0.61,-0.05,0.30,47.360,0.63,-0.02,-0.26
47.400,0.63,0.05,-0.30,47.400,0.63,0.03,-0.34,47.400,0.63,-0.02,-0.28,47.400,0.63,0.03,-0.33,47.400,0.62,0.04,0.20,47.400,0.61,0.01,0.33,47.400,0.62,0.06,0.13,47.400,0.62,-0.06,-0.04,47.400,0.63,-0.03,-0.20,47.400,0.62,-0.01,0.18,47.400,0.63,0.01,-0.30,47.400,0.63,-0.06,-0.14,47.400,0.63,0.00,-0.23,47.400,0.61,0.03,0.28,47.400,0.62,-0.04,0.18,47.400,0.63,0.00,-0.30,47.400,0.63,0.01,-0.35,47.400,0.61,-0.03,0.38,47.400,0.63,-0.03,-0.22
47.440,0.63,0.03,-0.37,47.440,0.63,0.02,-0.39,47.440,0.63,-0.03,-0.23,47.440,0.63,0.01,-0.37,47.440,0.62,0.05,0.11,47.440,0.61,0.02,0.31,47.440,0.62,0.06,0.01,47.440,0.62,-0.05,0.09,47.440,0.63,-0.04,-0.16,47.440,0.62,0.00,0.19,47.440,0.63,0.00,-0.32,47.440,0.62,-0.06,-0.02,47.440,0.63,-0.01,-0.20,47.440,0.62,0.04,0.28,47.440,0.62,-0.04,0.24,47.440,0.63,-0.02,-0.30,47.440,0.63,0.00,-0.37,47.440,0.61,-0.01,0.42,47.440,0.62,-0.04,-0.14
47.480,0.63,0.02,-0.39,47.480,0.63,0.00,-0.42,47.480,0.62,-0.04,-0.15,47.480,0.63,0.00,-0.38,47.480,0.62,0.05,-0.02,47.480,0.61,0.03,0.33,47.480,0.62,0.06,-0.08,47.480,0.62,-0.05,0.24,47.480,0.62,-0.04,-0.14,47.480,0.62,0.01,0.19,47.480,0.63,-0.02,-0.29,47.480,0.62,-0.06,0.10,47.480,0.63,-0.02,-0.18,47.480,0.62,0.05,0.25,47.480,0.61,-0.02,0.29,47.480,0.63,-0.03,-0.21,47.480,0.63,-0.02,-0.37,47.480,0.61,0.00,0.43,47.480,0.62,-0.05,-0.04
47.520,0.63,0.00,-0.40,47.520,0.63,-0.02,-0.41,47.520,0.62,-0.05,-0.07,47.520,0.63,-0.02,-0.36,47.520,0.62,0.05,-0.13,47.520,0.62,0.05,0.32,47.520,0.63,0.05,-0.15,47.520,0.62,-0.04,0.36,47.520,0.62,-0.05,-0.11,47.520,0.62,0.02,0.17,47.520,0.63,-0.03,-0.24,47.520,0.62,-0.06,0.21,47.520,0.63,-0.02,-0.18,47.520,0.62,0.06,0.16,47.520,0.61,-0.01,0.33,47.520,0.63,-0.04,-0.08,47.520,0.63,-0.03,-0.33,47.520,0.61,0.02,0.39,47.520,0.62,-0.05,0.05
47.560,0.63,-0.02,-0.38,47.560,0.63,-0.03,-0.35,47.560,0.62,-0.05,0.02,47.560,0.63,-0.03,-0.30,47.560,0.63,0.04,-0.17,47.560,0.62,0.06,0.23,47.560,0.63,0.05,-0.24,47.560,0.61,-0.02,0.37,47.560,0.62,-0.05,0.00,47.560,0.62,0.02,0.20,47.560,0.63,-0.04,-0.19,47.560,0.62,-0.05,0.29,47.560,0.63,-0.03,-0.22,47.560,0.62,0.06,0.04,47.560,0.61,0.00,0.35,47.560,0.62,-0.03,-0.05,47.560,0.63,-0.04,-0.26,47.560,0.61,0.04,0.33,47.560,0.62,-0.04,0.11
47.600,0.63,-0.03,-0.34,47.600,0.63,-0.05,-0.26,47.600,0.62,-0.04,0.10,47.600,0.63,-0.04,-0.22,47.600,0.63,0.03,-0.16,47.600,0.62,0.07,0.03,47.600,0.63,0.03,-0.31,47.600,0.61,0.00,0.29,47.600,0.62,-0.05,0.19,47.600,0.62,0.03,0.24,47.600,0.62,-0.04,-0.14,47.600,0.61,-0.03,0.35,47.600,0.63,-0.04,-0.20,47.600,0.63,0.06,-0.13,47.600,0.61,0.02,0.33,47.600,0.62,-0.04,-0.13,47.600,0.63,-0.05,-0.17,47.600,0.62,0.05,0.26,47.600,0.62,-0.04,0.16
47.640,0.63,-0.05,-0.27,47.640,0.63,-0.05,-0.17,47.640,0.62,-0.04,0.17,47.640,0.62,-0.05,-0.14,47.640,0.63,0.03,-0.18,47.640,0.63,0.07,-0.17,47.640,0.63,0.02,-0.38,47.640,0.61,0.00,0.25,47.640,0.62,-0.04,0.32,47.640,0.62,0.05,0.15,47.640,0.62,-0.05,4.77E-4,47.640,0.61,-0.02,0.39,47.640,0.62,-0.05,-0.11,47.640,0.63,0.06,-0.35,47.640,0.62,0.03,0.27,47.640,0.62,-0.05,-0.13,47.640,0.62,-0.06,-0.06,47.640,0.62,0.06,0.18,47.640,0.62,-0.03,0.22
47.680,0.63,-0.05,-0.18,47.680,0.62,-0.06,-0.07,47.680,0.62,-0.03,0.23,47.680,0.62,-0.06,-0.06,47.680,0.63,0.02,-0.25,47.680,0.63,0.05,-0.30,47.680,0.63,0.00,-0.42,47.680,0.61,0.01,0.27,47.680,0.62,-0.02,0.35,47.680,0.62,0.05,-0.04,47.680,0.62,-0.05,0.19,47.680,0.61,-7.67E-4,0.42,47.680,0.62,-0.05,0.03,47.680,0.63,0.03,-0.49,47.680,0.62,0.04,0.21,47.680,0.62,-0.05,0.05,47.680,0.62,-0.06,0.06,47.680,0.62,0.06,0.07,47.680,0.62,-0.02,0.29
47.720,0.62,-0.06,-0.08,47.720,0.62,-0.06,0.03,47.720,0.61,-0.02,0.28,47.720,0.62,-0.06,0.04,47.720,0.63,0.01,-0.33,47.720,0.63,0.04,-0.35,47.720,0.63,-0.01,-0.42,47.720,0.62,0.03,0.30,47.720,0.61,-0.01,0.33,47.720,0.62,0.04,-0.16,47.720,0.62,-0.03,0.30,47.720,0.61,0.02,0.40,47.720,0.62,-0.04,0.15,47.720,0.63,0.01,-0.44,47.720,0.62,0.05,0.15,47.720,0.62,-0.05,0.28,47.720,0.62,-0.05,0.17,47.720,0.62,0.06,-0.05,47.720,0.61,0.00,0.33
47.760,0.62,-0.06,0.03,47.760,0.62,-0.06,0.12,47.760,0.61,-0.01,0.30,47.760,0.62,-0.05,0.15,47.760,0.63,-0.01,-0.37,47.760,0.63,0.03,-0.35,47.760,0.63,-0.03,-0.33,47.760,0.62,0.04,0.27,47.760,0.61,0.00,0.30,47.760,0.62,0.03,-0.16,47.760,0.62,-0.02,0.26,47.760,0.61,0.03,0.36,47.760,0.62,-0.04,0.24,47.760,0.63,-0.01,-0.32,47.760,0.62,0.05,0.08,47.760,0.62,-0.02,0.39,47.760,0.62,-0.04,0.25,47.760,0.63,0.06,-0.17,47.760,0.61,0.01,0.32
47.800,0.62,-0.06,0.14,47.800,0.62,-0.05,0.22,47.800,0.61,0.01,0.31,47.800,0.62,-0.04,0.24,47.800,0.63,-0.02,-0.36,47.800,0.63,0.01,-0.36,47.800,0.63,-0.04,-0.17,47.800,0.62,0.05,0.19,47.800,0.62,0.02,0.28,47.800,0.63,0.03,-0.15,47.800,0.62,-0.01,0.15,47.800,0.62,0.05,0.30,47.800,0.62,-0.03,0.31,47.800,0.63,-0.01,-0.27,47.800,0.62,0.05,-9.66E-4,47.800,0.61,-0.01,0.37,47.800,0.61,-0.03,0.31,47.800,0.63,0.05,-0.27,47.800,0.62,0.02,0.27
47.840,0.62,-0.05,0.23,47.840,0.61,-0.04,0.31,47.840,0.61,0.02,0.28,47.840,0.61,-0.03,0.31,47.840,0.63,-0.04,-0.30,47.840,0.63,0.00,-0.37,47.840,0.63,-0.04,-0.04,47.840,0.62,0.06,0.09,47.840,0.62,0.03,0.24,47.840,0.63,0.02,-0.21,47.840,0.62,-0.01,0.13,47.840,0.62,0.06,0.20,47.840,0.62,-0.01,0.32,47.840,0.63,-0.02,-0.29,47.840,0.62,0.05,-0.05,47.840,0.61,0.00,0.32,47.840,0.61,-0.02,0.36,47.840,0.63,0.04,-0.34,47.840,0.62,0.03,0.20
47.880,0.61,-0.04,0.31,47.880,0.61,-0.02,0.36,47.880,0.62,0.03,0.24,47.880,0.61,-0.02,0.35,47.880,0.63,-0.05,-0.20,47.880,0.63,-0.02,-0.37,47.880,0.62,-0.04,-0.02,47.880,0.62,0.06,-0.04,47.880,0.62,0.03,0.19,47.880,0.63,0.01,-0.28,47.880,0.62,0.00,0.21,47.880,0.62,0.06,0.08,47.880,0.62,0.00,0.27,47.880,0.63,-0.04,-0.28,47.880,0.63,0.05,-0.07,47.880,0.62,0.02,0.29,47.880,0.61,0.00,0.38,47.880,0.63,0.02,-0.39,47.880,0.62,0.04,0.13
47.920,0.61,-0.02,0.37,47.920,0.61,-0.01,0.39,47.920,0.62,0.04,0.18,47.920,0.61,0.00,0.37,47.920,0.62,-0.05,-0.10,47.920,0.63,-0.03,-0.38,47.920,0.62,-0.04,-0.07,47.920,0.63,0.05,-0.20,47.920,0.62,0.04,0.11,47.920,0.63,0.00,-0.31,47.920,0.62,0.01,0.28,47.920,0.62,0.06,-0.04,47.920,0.62,0.01,0.21,47.920,0.63,-0.05,-0.22,47.920,0.63,0.05,-0.15,47.920,0.62,0.03,0.24,47.920,0.61,0.01,0.37,47.920,0.63,0.01,-0.42,47.920,0.62,0.04,0.05
47.960,0.61,-0.01,0.40,47.960,0.61,0.01,0.39,47.960,0.62,0.04,0.10,47.960,0.61,0.01,0.36,47.960,0.62,-0.06,0.00,47.960,0.63,-0.05,-0.36,47.960,0.62,-0.05,-0.04,47.960,0.63,0.04,-0.32,47.960,0.62,0.04,0.03,47.960,0.63,-0.02,-0.28,47.960,0.62,0.02,0.26,47.960,0.63,0.06,-0.17,47.960,0.62,0.02,0.22,47.960,0.62,-0.05,-0.14,47.960,0.63,0.04,-0.33,47.960,0.62,0.04,0.18,47.960,0.61,0.03,0.33,47.960,0.63,-0.01,-0.41,47.960,0.62,0.04,-0.01
48.000,0.61,0.01,0.40,48.000,0.61,0.02,0.36,48.000,0.62,0.05,0.02,48.000,0.61,0.03,0.33,48.000,0.62,-0.05,0.09,48.000,0.63,-0.06,-0.19,48.000,0.62,-0.05,0.09,48.000,0.63,0.02,-0.35,48.000,0.62,0.04,-0.05,48.000,0.63,-0.03,-0.24,48.000,0.62,0.03,0.19,48.000,0.63,0.05,-0.29,48.000,0.62,0.03,0.24,48.000,0.62,-0.06,-0.03,48.000,0.63,0.02,-0.54,48.000,0.62,0.04,0.10,48.000,0.62,0.04,0.27,48.000,0.63,-0.03,-0.36,48.000,0.62,0.04,-0.06
48.040,0.61,0.02,0.37,48.040,0.61,0.04,0.30,48.040,0.62,0.04,-0.07,48.040,0.62,0.04,0.27,48.040,0.62,-0.05,0.18,48.040,0.62,-0.07,0.07,48.040,0.62,-0.04,0.24,48.040,0.63,0.01,-0.30,48.040,0.62,0.04,-0.12,48.040,0.63,-0.04,-0.18,48.040,0.62,0.04,0.12,48.040,0.63,0.03,-0.36,48.040,0.62,0.04,0.19,48.040,0.62,-0.06,0.08,48.040,0.63,-0.01,-0.62,48.040,0.62,0.04,0.02,48.040,0.62,0.05,0.19,48.040,0.63,-0.04,-0.30,48.040,0.62,0.04,-0.13
48.080,0.61,0.04,0.31,48.080,0.62,0.05,0.22,48.080,0.62,0.04,-0.14,48.080,0.62,0.05,0.19,48.080,0.62,-0.04,0.26,48.080,0.62,-0.06,0.23,48.080,0.62,-0.03,0.36,48.080,0.63,3.61E-4,-0.25,48.080,0.63,0.03,-0.15,48.080,0.62,-0.04,-0.11,48.080,0.62,0.04,0.05,48.080,0.63,0.02,-0.35,48.080,0.62,0.05,0.09,48.080,0.62,-0.05,0.18,48.080,0.63,-0.04,-0.49,48.080,0.62,0.04,-0.06,48.080,0.62,0.06,0.09,48.080,0.63,-0.05,-0.22,48.080,0.63,0.03,-0.19
48.120,0.62,0.05,0.24,48.120,0.62,0.06,0.13,48.120,0.63,0.03,-0.20,48.120,0.62,0.05,0.09,48.120,0.61,-0.03,0.32,48.120,0.62,-0.04,0.22,48.120,0.61,-0.01,0.41,48.120,0.63,-0.01,-0.27,48.120,0.63,0.03,-0.16,48.120,0.62,-0.05,-0.02,48.120,0.62,0.04,-0.02,48.120,0.63,0.01,-0.30,48.120,0.62,0.05,0.00,48.120,0.62,-0.04,0.26,48.120,0.63,-0.05,-0.26,48.120,0.62,0.04,-0.12,48.120,0.62,0.06,0.00,48.120,0.62,-0.06,-0.12,48.120,0.63,0.02,-0.25
48.160,0.62,0.06,0.19,48.160,0.62,0.06,0.03,48.160,0.63,0.02,-0.25,48.160,0.62,0.06,-0.01,48.160,0.61,-0.01,0.37,48.160,0.62,-0.04,0.14,48.160,0.61,0.00,0.38,48.160,0.63,-0.02,-0.31,48.160,0.63,0.02,-0.18,48.160,0.62,-0.05,0.10,48.160,0.62,0.04,-0.09,48.160,0.63,0.00,-0.30,48.160,0.62,0.04,-0.06,48.160,0.61,-0.03,0.33,48.160,0.63,-0.05,-0.09,48.160,0.63,0.03,-0.18,48.160,0.62,0.05,-0.11,48.160,0.62,-0.06,-0.01,48.160,0.63,0.01,-0.29
48.200,0.62,0.06,0.12,48.200,0.62,0.06,-0.07,48.200,0.63,0.01,-0.29,48.200,0.62,0.05,-0.10,48.200,0.61,0.00,0.41,48.200,0.62,-0.04,0.16,48.200,0.61,0.02,0.28,48.200,0.63,-0.03,-0.29,48.200,0.63,0.01,-0.26,48.200,0.62,-0.04,0.20,48.200,0.63,0.03,-0.15,48.200,0.63,-0.01,-0.33,48.200,0.63,0.04,-0.12,48.200,0.61,-0.02,0.38,48.200,0.62,-0.05,-0.01,48.200,0.63,0.02,-0.23,48.200,0.63,0.05,-0.21,48.200,0.62,-0.06,0.11,48.200,0.63,0.00,-0.30
48.240,0.62,0.07,0.02,48.240,0.62,0.05,-0.16,48.240,0.63,5.55E-4,-0.30,48.240,0.63,0.05,-0.18,48.240,0.61,0.02,0.40,48.240,0.61,-0.03,0.25,48.240,0.62,0.03,0.18,48.240,0.63,-0.05,-0.21,48.240,0.63,0.00,-0.34,48.240,0.62,-0.03,0.21,48.240,0.63,0.03,-0.20,48.240,0.63,-0.03,-0.35,48.240,0.63,0.04,-0.23,48.240,0.61,6.98E-4,0.41,48.240,0.62,-0.06,0.04,48.240,0.63,0.01,-0.27,48.240,0.63,0.04,-0.29,48.240,0.62,-0.05,0.22,48.240,0.63,-0.01,-0.28
48.280,0.63,0.07,-0.15,48.280,0.63,0.04,-0.26,48.280,0.63,-0.01,-0.30,48.280,0.63,0.04,-0.26,48.280,0.61,0.04,0.31,48.280,0.61,-0.01,0.35,48.280,0.62,0.03,0.16,48.280,0.62,-0.05,-0.11,48.280,0.63,-0.02,-0.36,48.280,0.62,-0.02,0.19,48.280,0.63,0.02,-0.24,48.280,0.63,-0.05,-0.31,48.280,0.63,0.02,-0.37,48.280,0.61,0.02,0.40,48.280,0.62,-0.05,0.11,48.280,0.63,0.00,-0.29,48.280,0.63,0.02,-0.34,48.280,0.61,-0.04,0.31,48.280,0.63,-0.02,-0.25
48.320,0.63,0.06,-0.35,48.320,0.63,0.03,-0.33,48.320,0.63,-0.02,-0.27,48.320,0.63,0.03,-0.32,48.320,0.62,0.05,0.18,48.320,0.61,-9.92E-4,0.45,48.320,0.62,0.04,0.22,48.320,0.62,-0.05,-0.02,48.320,0.63,-0.03,-0.28,48.320,0.62,-0.01,0.27,48.320,0.63,0.01,-0.26,48.320,0.63,-0.06,-0.22,48.320,0.63,0.01,-0.46,48.320,0.61,0.03,0.35,48.320,0.62,-0.05,0.18,48.320,0.63,-0.01,-0.28,48.320,0.63,0.01,-0.36,48.320,0.61,-0.03,0.37,48.320,0.63,-0.03,-0.20
48.360,0.63,0.04,-0.48,48.360,0.63,0.02,-0.38,48.360,0.63,-0.03,-0.20,48.360,0.63,0.01,-0.36,48.360,0.62,0.05,0.09,48.360,0.61,0.02,0.51,48.360,0.62,0.05,0.23,48.360,0.62,-0.05,0.07,48.360,0.63,-0.04,-0.17,48.360,0.61,-9.62E-4,0.37,48.360,0.63,-0.01,-0.26,48.360,0.62,-0.06,-0.10,48.360,0.63,-0.02,-0.43,48.360,0.62,0.05,0.26,48.360,0.62,-0.04,0.24,48.360,0.63,-0.02,-0.22,48.360,0.63,-0.01,-0.35,48.360,0.61,-0.01,0.40,48.360,0.62,-0.04,-0.13
48.400,0.63,0.02,-0.53,48.400,0.63,7.21E-4,-0.39,48.400,0.62,-0.04,-0.13,48.400,0.63,0.00,-0.37,48.400,0.62,0.05,0.02,48.400,0.61,0.05,0.43,48.400,0.62,0.06,0.11,48.400,0.62,-0.05,0.16,48.400,0.62,-0.04,-0.07,48.400,0.61,0.02,0.35,48.400,0.63,-0.02,-0.23,48.400,0.62,-0.07,0.06,48.400,0.63,-0.03,-0.29,48.400,0.62,0.06,0.11,48.400,0.62,-0.03,0.28,48.400,0.63,-0.03,-0.13,48.400,0.63,-0.02,-0.32,48.400,0.61,0.00,0.40,48.400,0.62,-0.04,-0.02
48.440,0.63,0.00,-0.51,48.440,0.63,-0.02,-0.37,48.440,0.62,-0.04,-0.05,48.440,0.63,-0.02,-0.34,48.440,0.62,0.05,-0.05,48.440,0.62,0.06,0.20,48.440,0.62,0.06,-0.08,48.440,0.62,-0.04,0.24,48.440,0.62,-0.04,0.01,48.440,0.62,0.03,0.23,48.440,0.63,-0.02,-0.19,48.440,0.62,-0.06,0.21,48.440,0.63,-0.04,-0.15,48.440,0.62,0.06,-0.02,48.440,0.61,-0.01,0.32,48.440,0.62,-0.03,-0.08,48.440,0.63,-0.03,-0.27,48.440,0.61,0.02,0.39,48.440,0.62,-0.04,0.08
48.480,0.63,-0.03,-0.44,48.480,0.63,-0.03,-0.34,48.480,0.62,-0.04,0.01,48.480,0.63,-0.03,-0.29,48.480,0.63,0.05,-0.14,48.480,0.62,0.06,-0.03,48.480,0.63,0.05,-0.25,48.480,0.61,-0.03,0.30,48.480,0.62,-0.04,0.09,48.480,0.62,0.04,0.12,48.480,0.63,-0.03,-0.16,48.480,0.62,-0.05,0.32,48.480,0.63,-0.04,-0.07,48.480,0.62,0.05,-0.09,48.480,0.61,7.62E-5,0.34,48.480,0.62,-0.03,-0.07,48.480,0.63,-0.04,-0.21,48.480,0.61,0.04,0.34,48.480,0.62,-0.04,0.13
48.520,0.63,-0.04,-0.34,48.520,0.63,-0.04,-0.27,48.520,0.62,-0.04,0.09,48.520,0.63,-0.04,-0.22,48.520,0.63,0.04,-0.26,48.520,0.62,0.05,-0.14,48.520,0.63,0.04,-0.35,48.520,0.61,-0.02,0.37,48.520,0.62,-0.04,0.13,48.520,0.62,0.04,0.08,48.520,0.62,-0.04,-0.15,48.520,0.61,-0.03,0.37,48.520,0.62,-0.04,-0.04,48.520,0.63,0.05,-0.09,48.520,0.61,0.01,0.32,48.520,0.62,-0.04,-0.01,48.520,0.62,-0.05,-0.14,48.520,0.62,0.05,0.27,48.520,0.62,-0.03,0.13
